ticker,date,period_ending,estimate,reported,surprise,surprise%
BOH,26-Apr-21,21-Mar,1.18,1.5,0.32,27.12
BOKF,21-Apr-21,21-Mar,1.92,2.1,0.18,9.38
BPOP,28-Apr-21,21-Mar,1.91,3.12,1.21,63.35
BR,4-May-21,21-Mar,1.67,1.76,0.09,5.39
BRKR,5-May-21,21-Mar,0.32,0.44,0.12,37.5
BRKS,10-May-21,21-Mar,0.51,0.69,0.18,35.29
BRO,26-Apr-21,21-Mar,0.56,0.7,0.14,25
BRX,3-May-21,21-Mar,0.4,0.18,-0.22,-55
BSX,28-Apr-21,21-Mar,0.3,0.37,0.07,23.33
BURL,27-May-21,21-Apr,0.92,2.59,1.67,181.52
BWA,5-May-21,21-Mar,0.92,1.21,0.29,31.52
BWXT,3-May-21,21-Mar,0.71,0.73,0.02,2.82
BX,22-Apr-21,21-Mar,0.72,0.96,0.24,33.33
BXP,27-Apr-21,21-Mar,1.55,0.59,-0.96,-61.94
BYD,27-Apr-21,21-Mar,0.44,0.93,0.49,111.36
BYND,6-May-21,21-Mar,-0.27,-0.42,-0.15,-55.56
C,15-Apr-21,21-Mar,2.56,3.62,1.06,41.41
CABO,6-May-21,21-Mar,10.22,11.19,0.97,9.49
CACC,29-Apr-21,21-Mar,8.44,11.82,3.38,40.05
CACI,21-Apr-21,21-Mar,3.69,5.28,1.59,43.09
CAG,8-Apr-21,21-Feb,0.58,0.59,0.01,1.72
CAH,6-May-21,21-Mar,1.58,1.53,-0.05,-3.16
CARR,29-Apr-21,21-Mar,0.38,0.48,0.1,26.32
CASY,8-Jun-21,21-Apr,0.67,1.12,0.45,67.16
CAT,29-Apr-21,21-Mar,1.93,2.87,0.94,48.7
CB,27-Apr-21,21-Mar,2.45,2.52,0.07,2.86
CBOE,30-Apr-21,21-Mar,1.39,1.53,0.14,10.07
CBRE,29-Apr-21,21-Mar,0.7,0.86,0.16,22.86
CBSH,15-Apr-21,21-Mar,0.96,1.11,0.15,15.63
CC,3-May-21,21-Mar,0.68,0.71,0.03,4.41
CCI,21-Apr-21,21-Mar,1.61,0.28,-1.33,-82.61
CCK,19-Apr-21,21-Mar,1.39,1.83,0.44,31.65
CCL,7-Apr-21,21-Feb,-1.66,-1.79,-0.13,-7.83
CDAY,5-May-21,21-Mar,0.09,0.09,0,0
CDK,6-May-21,21-Mar,0.68,0.69,0.01,1.47
CDNS,26-Apr-21,21-Mar,0.74,0.83,0.09,12.16
CDW,5-May-21,21-Mar,1.54,1.74,0.2,12.99
CE,22-Apr-21,21-Mar,3.01,3.46,0.45,14.95
CERN,5-May-21,21-Mar,0.74,0.76,0.02,2.7
CF,5-May-21,21-Mar,0.57,0.7,0.13,22.81
CFG,16-Apr-21,21-Mar,0.97,1.41,0.44,45.36
CFR,29-Apr-21,21-Mar,1.42,1.77,0.35,24.65
CFX,29-Apr-21,21-Mar,0.39,0.44,0.05,12.82
CG,29-Apr-21,21-Mar,0.54,0.58,0.04,7.41
CGNX,6-May-21,21-Mar,0.35,0.39,0.04,11.43
CHD,29-Apr-21,21-Mar,0.8,0.83,0.03,3.75
CHDN,21-Apr-21,21-Mar,0.56,0.87,0.31,55.36
CHE,27-Apr-21,21-Mar,4.2,4.44,0.24,5.71
CHGG,3-May-21,21-Mar,0.31,0.28,-0.03,-9.68
CHH,10-May-21,21-Mar,0.63,0.57,-0.06,-9.52
CHNG,26-May-21,21-Mar,0.37,0.42,0.05,13.51
CHRW,27-Apr-21,21-Mar,0.97,1.28,0.31,31.96
CHTR,30-Apr-21,21-Mar,4.34,4.11,-0.23,-5.3
CI,7-May-21,21-Mar,4.42,4.73,0.31,7.01
CIEN,3-Jun-21,21-Apr,0.48,0.62,0.14,29.17
CINF,28-Apr-21,21-Mar,1.05,1.37,0.32,30.48
CL,30-Apr-21,21-Mar,0.8,0.8,0,0
CLF,22-Apr-21,21-Mar,0.33,0.35,0.02,6.06
CLH,5-May-21,21-Mar,0.26,0.42,0.16,61.54
CLR,28-Apr-21,21-Mar,0.52,0.77,0.25,48.08
CLX,30-Apr-21,21-Mar,1.47,1.62,0.15,10.2
CMA,20-Apr-21,21-Mar,1.38,2.43,1.05,76.09
CMCSA,29-Apr-21,21-Mar,0.59,0.76,0.17,28.81
CME,28-Apr-21,21-Mar,1.75,1.79,0.04,2.29
CMG,21-Apr-21,21-Mar,4.92,5.36,0.44,8.94
CMI,4-May-21,21-Mar,3.46,4.04,0.58,16.76
CMS,29-Apr-21,21-Mar,1.17,1.21,0.04,3.42
CNA,3-May-21,21-Mar,0.95,0.96,0.01,1.05
CNC,27-Apr-21,21-Mar,1.65,1.63,-0.02,-1.21
CNP,6-May-21,21-Mar,0.5,0.59,0.09,18
CNXC,24-Mar-21,21-Feb,2.03,2.29,0.26,12.81
COF,27-Apr-21,21-Mar,4.17,7.03,2.86,68.59
COHR,12-May-21,21-Mar,1.17,1.42,0.25,21.37
COLD,6-May-21,21-Mar,0.31,-0.06,-0.37,-119.35
COLM,29-Apr-21,21-Mar,0.33,0.84,0.51,154.55
COMM,6-May-21,21-Mar,0.31,0.36,0.05,16.13
CONE,28-Apr-21,21-Mar,0.98,0.15,-0.83,-84.69
COO,3-Jun-21,21-Apr,3.12,3.38,0.26,8.33
COP,4-May-21,21-Mar,0.57,0.69,0.12,21.05
COR,29-Apr-21,21-Mar,1.33,0.51,-0.82,-61.65
COST,4-Mar-21,21-Feb,2.42,2.14,-0.28,-11.57
COUP,7-Jun-21,21-Apr,-0.19,0.07,0.26,136.84
CPA,5-May-21,21-Mar,-2.25,-2.23,0.02,0.89
CPB,9-Jun-21,21-Apr,0.66,0.57,-0.09,-13.64
CPRI,26-May-21,21-Mar,-0.01,0.38,0.39,3900
CPRT,19-May-21,21-Apr,0.8,1.09,0.29,36.25
CPT,29-Apr-21,21-Mar,1.23,0.31,-0.92,-74.8
CR,3-May-21,21-Mar,1.31,1.66,0.35,26.72
CRI,30-Apr-21,21-Mar,0.27,1.98,1.71,633.33
CRL,4-May-21,21-Mar,2.19,2.53,0.34,15.53
CRM,27-May-21,21-Apr,0.88,1.21,0.33,37.5
CRUS,29-Apr-21,21-Mar,0.69,0.66,-0.03,-4.35
CRWD,3-Jun-21,21-Apr,0.06,0.1,0.04,66.67
CSCO,19-May-21,21-Apr,0.82,0.83,0.01,1.22
CSGP,27-Apr-21,21-Mar,0.24,0.28,0.04,16.67
CSL,22-Apr-21,21-Mar,0.68,1.47,0.79,116.18
CSX,20-Apr-21,21-Mar,0.32,0.31,-0.01,-3.13
CTAS,17-Mar-21,21-Feb,2.21,2.37,0.16,7.24
CTLT,4-May-21,21-Mar,0.76,0.82,0.06,7.89
CTSH,5-May-21,21-Mar,0.94,0.97,0.03,3.19
CTVA,4-May-21,21-Mar,0.67,0.79,0.12,17.91
CTXS,29-Apr-21,21-Mar,1.42,1.42,0,0
CUBE,29-Apr-21,21-Mar,0.45,0.21,-0.24,-53.33
CUZ,29-Apr-21,21-Mar,0.7,0.2,-0.5,-71.43
CVNA,6-May-21,21-Mar,-0.7,-0.46,0.24,34.29
CVS,4-May-21,21-Mar,1.72,2.04,0.32,18.6
CVX,30-Apr-21,21-Mar,0.92,0.9,-0.02,-2.17
CW,5-May-21,21-Mar,1.3,1.51,0.21,16.15
CZR,4-May-21,21-Mar,-1.69,-2.06,-0.37,-21.89
