ticker,date,period_ending,estimate,reported,surprise,surprise%
JEF,24-Mar-21,21-Feb,1.08,2.14,1.06,98.15
JHG,29-Apr-21,21-Mar,0.83,0.91,0.08,9.64
JKHY,3-May-21,21-Mar,0.86,0.95,0.09,10.47
JLL,5-May-21,21-Mar,0.6,2.1,1.5,250
JNJ,20-Apr-21,21-Mar,2.31,2.59,0.28,12.12
JNPR,27-Apr-21,21-Mar,0.25,0.3,0.05,20
JPM,14-Apr-21,21-Mar,3.05,4.5,1.45,47.54
JWN,25-May-21,21-Apr,-0.53,-0.64,-0.11,-20.75
K,6-May-21,21-Mar,0.95,1.11,0.16,16.84
KDP,29-Apr-21,21-Mar,0.31,0.33,0.02,6.45
KEX,29-Apr-21,21-Mar,0.11,-0.06,-0.17,-154.55
KEY,20-Apr-21,21-Mar,0.49,0.61,0.12,24.49
KEYS,19-May-21,21-Apr,1.34,1.44,0.1,7.46
KHC,29-Apr-21,21-Mar,0.6,0.72,0.12,20
KIM,29-Apr-21,21-Mar,0.3,0.3,0,0
KKR,4-May-21,21-Mar,0.62,0.75,0.13,20.97
KLAC,29-Apr-21,21-Mar,3.59,3.85,0.26,7.24
KMB,23-Apr-21,21-Mar,1.9,1.8,-0.1,-5.26
KMI,21-Apr-21,21-Mar,0.23,0.6,0.37,160.87
KMPR,29-Apr-21,21-Mar,1.23,1.31,0.08,6.5
KMX,1-Apr-21,21-Feb,1.24,1.27,0.03,2.42
KNX,21-Apr-21,21-Mar,0.7,0.83,0.13,18.57
KO,19-Apr-21,21-Mar,0.5,0.55,0.05,10
KR,17-Jun-21,21-Apr,0.99,1.19,0.2,20.2
KRC,28-Apr-21,21-Mar,0.99,4.26,3.27,330.3
KSU,16-Apr-21,21-Mar,2,1.91,-0.09,-4.5
LAD,21-Apr-21,21-Mar,4.73,5.89,1.16,24.52
LAMR,4-May-21,21-Mar,1.17,0.38,-0.79,-67.52
LAZ,30-Apr-21,21-Mar,0.85,0.87,0.02,2.35
LBRDK,7-May-21,21-Mar,1.37,0.83,-0.54,-39.42
LDOS,4-May-21,21-Mar,1.49,1.73,0.24,16.11
LEA,7-May-21,21-Mar,2.94,3.73,0.79,26.87
LECO,27-Apr-21,21-Mar,1.18,1.37,0.19,16.1
LEG,3-May-21,21-Mar,0.41,0.64,0.23,56.1
LEN,16-Mar-21,21-Feb,1.65,2.04,0.39,23.64
LFUS,28-Apr-21,21-Mar,1.92,2.67,0.75,39.06
LH,29-Apr-21,21-Mar,7.32,8.79,1.47,20.08
LII,26-Apr-21,21-Mar,1.29,2.27,0.98,75.97
LITE,12-May-21,21-Mar,1.42,1.4,-0.02,-1.41
LKQ,29-Apr-21,21-Mar,0.63,0.94,0.31,49.21
LLY,27-Apr-21,21-Mar,2.12,1.87,-0.25,-11.79
LMT,20-Apr-21,21-Mar,6.32,6.56,0.24,3.8
LNC,5-May-21,21-Mar,1.48,1.82,0.34,22.97
LNG,4-May-21,21-Mar,0.75,1.54,0.79,105.33
LNT,6-May-21,21-Mar,0.67,0.68,0.01,1.49
LOPE,5-May-21,21-Mar,1.67,1.72,0.05,2.99
LOW,19-May-21,21-Apr,2.58,3.21,0.63,24.42
LPLA,29-Apr-21,21-Mar,1.48,1.77,0.29,19.59
LPX,4-May-21,21-Mar,2.76,3.01,0.25,9.06
LRCX,21-Apr-21,21-Mar,6.56,7.49,0.93,14.18
LSI,4-May-21,21-Mar,1.01,0.63,-0.38,-37.62
LSTR,21-Apr-21,21-Mar,1.61,2.01,0.4,24.84
LSXMK,7-May-21,21-Mar,0.27,-0.03,-0.3,-111.11
LULU,3-Jun-21,21-Apr,0.91,1.16,0.25,27.47
LUV,22-Apr-21,21-Mar,-1.82,-1.72,0.1,5.49
LVS,21-Apr-21,21-Mar,-0.27,-0.25,0.02,7.41
LW,7-Apr-21,21-Feb,0.51,0.45,-0.06,-11.76
LYB,30-Apr-21,21-Mar,2.65,3.18,0.53,20
LYFT,4-May-21,21-Mar,-0.54,-0.36,0.18,33.33
LYV,6-May-21,21-Mar,-1.66,-1.44,0.22,13.25
MA,29-Apr-21,21-Mar,1.55,1.74,0.19,12.26
MAA,28-Apr-21,21-Mar,1.61,0.4,-1.21,-75.16
MAN,20-Apr-21,21-Mar,0.66,1.11,0.45,68.18
MANH,27-Apr-21,21-Mar,0.32,0.43,0.11,34.38
MAR,10-May-21,21-Mar,0.03,0.1,0.07,233.33
MAS,28-Apr-21,21-Mar,0.66,0.89,0.23,34.85
MASI,26-Apr-21,21-Mar,0.88,0.9,0.02,2.27
MAT,22-Apr-21,21-Mar,-0.34,-0.1,0.24,70.59
MCD,29-Apr-21,21-Mar,1.81,1.92,0.11,6.08
MCHP,6-May-21,21-Mar,0.87,0.93,0.06,6.9
MCK,6-May-21,21-Mar,5.02,5.05,0.03,0.6
MCO,28-Apr-21,21-Mar,2.8,4.06,1.26,45
MCY,4-May-21,21-Mar,1.25,1.34,0.09,7.2
MDB,3-Jun-21,21-Apr,-0.36,-0.15,0.21,58.33
MDLZ,27-Apr-21,21-Mar,0.69,0.77,0.08,11.59
MDT,27-May-21,21-Apr,1.42,1.5,0.08,5.63
MDU,5-May-21,21-Mar,0.2,0.26,0.06,30
MET,5-May-21,21-Mar,1.48,2.2,0.72,48.65
MGM,28-Apr-21,21-Mar,-0.86,-0.68,0.18,20.93
MHK,29-Apr-21,21-Mar,2.8,3.49,0.69,24.64
MIDD,6-May-21,21-Mar,1.63,1.79,0.16,9.82
MKC,30-Mar-21,21-Feb,0.57,0.72,0.15,26.32
MKL,28-Apr-21,21-Mar,11.37,10.12,-1.25,-10.99
MKSI,26-Apr-21,21-Mar,2.17,2.56,0.39,17.97
MKTX,22-Apr-21,21-Mar,2.12,2.11,-0.01,-0.47
MLM,4-May-21,21-Mar,0.5,1.04,0.54,108
MMC,27-Apr-21,21-Mar,1.7,1.99,0.29,17.06
MMM,27-Apr-21,21-Mar,2.25,2.77,0.52,23.11
MNST,6-May-21,21-Mar,0.61,0.59,-0.02,-3.28
MO,29-Apr-21,21-Mar,1.04,1.07,0.03,2.88
MOH,28-Apr-21,21-Mar,3.78,4.44,0.66,17.46
MOS,3-May-21,21-Mar,0.5,0.57,0.07,14
MPC,4-May-21,21-Mar,-0.72,-0.2,0.52,72.22
MPW,29-Apr-21,21-Mar,0.42,0.27,-0.15,-35.71
MPWR,4-May-21,21-Mar,1.33,1.46,0.13,9.77
MRCY,4-May-21,21-Mar,0.63,0.64,0.01,1.59
MRK,29-Apr-21,21-Mar,1.63,1.4,-0.23,-14.11
MRNA,6-May-21,21-Mar,2.04,2.84,0.8,39.22
MRO,5-May-21,21-Mar,0.13,0.21,0.08,61.54
MRTX,6-May-21,21-Mar,-2.13,-2.67,-0.54,-25.35
MRVL,7-Jun-21,21-Apr,0.27,0.29,0.02,7.41
MS,16-Apr-21,21-Mar,1.72,2.22,0.5,29.07
MSA,28-Apr-21,21-Mar,0.94,0.95,0.01,1.06
MSCI,27-Apr-21,21-Mar,2.29,2.46,0.17,7.42
MSFT,27-Apr-21,21-Mar,1.76,1.95,0.19,10.8
MSI,6-May-21,21-Mar,1.62,1.87,0.25,15.43
MSM,7-Apr-21,21-Feb,1.01,1.03,0.02,1.98
MTB,19-Apr-21,21-Mar,2.96,3.41,0.45,15.2
MTCH,4-May-21,21-Mar,0.46,0.67,0.21,45.65
MTD,6-May-21,21-Mar,5.65,6.56,0.91,16.11
MTG,5-May-21,21-Mar,0.42,0.42,0,0
MTN,7-Jun-21,21-Apr,6.67,6.72,0.05,0.75
MTZ,6-May-21,21-Mar,0.77,1.1,0.33,42.86
MU,31-Mar-21,21-Feb,0.95,0.98,0.03,3.16
NATI,29-Apr-21,21-Mar,0.31,0.32,0.01,3.23
NBIX,5-May-21,21-Mar,0.47,0.33,-0.14,-29.79
NCLH,6-May-21,21-Mar,-2.06,-2.03,0.03,1.46
NCR,27-Apr-21,21-Mar,0.47,0.51,0.04,8.51
NDAQ,21-Apr-21,21-Mar,1.74,1.96,0.22,12.64
NDSN,24-May-21,21-Apr,1.65,2.12,0.47,28.48
NEE,21-Apr-21,21-Mar,0.6,0.67,0.07,11.67
NEM,29-Apr-21,21-Mar,0.75,0.74,-0.01,-1.33
NET,6-May-21,21-Mar,-0.03,-0.03,0,0
NEWR,13-May-21,21-Mar,-0.46,-0.27,0.19,41.3
NFE,7-May-21,21-Mar,0.05,-0.21,-0.26,-520
NFG,6-May-21,21-Mar,1.22,1.34,0.12,9.84
NFLX,20-Apr-21,21-Mar,2.98,3.75,0.77,25.84
NI,5-May-21,21-Mar,0.77,0.77,0,0
NKE,18-Mar-21,21-Feb,0.75,0.9,0.15,20
NKTR,6-May-21,21-Mar,-0.72,-0.68,0.04,5.56
NLSN,6-May-21,21-Mar,0.32,0.47,0.15,46.88
NLY,28-Apr-21,21-Mar,0.26,0.29,0.03,11.54
NNN,4-May-21,21-Mar,0.64,0.3,-0.34,-53.13
NOC,29-Apr-21,21-Mar,5.48,6.57,1.09,19.89
NOV,27-Apr-21,21-Mar,-0.23,-0.28,-0.05,-21.74
NOW,28-Apr-21,21-Mar,1.34,1.52,0.18,13.43
NRG,6-May-21,21-Mar,1.64,0.84,-0.8,-48.78
NRZ,5-May-21,21-Mar,0.34,0.34,0,0
NSC,28-Apr-21,21-Mar,2.55,2.66,0.11,4.31
NTAP,2-Jun-21,21-Apr,1.12,1.17,0.05,4.46
NTNX,26-May-21,21-Apr,-0.47,-0.41,0.06,12.77
NTRA,6-May-21,21-Mar,-1.05,-0.74,0.31,29.52
NTRS,20-Apr-21,21-Mar,1.51,1.7,0.19,12.58
NUAN,10-May-21,21-Mar,0.17,0.2,0.03,17.65
NUE,22-Apr-21,21-Mar,3.14,3.1,-0.04,-1.27
NVAX,10-May-21,21-Mar,-2.65,-3.05,-0.4,-15.09
NVCR,29-Apr-21,21-Mar,0.01,-0.04,-0.05,-500
NVDA,26-May-21,21-Apr,0.82,0.92,0.1,12.2
NVR,21-Apr-21,21-Mar,61.9,63.21,1.31,2.12
NVST,5-May-21,21-Mar,0.31,0.54,0.23,74.19
NVT,29-Apr-21,21-Mar,0.35,0.43,0.08,22.86
NWL,30-Apr-21,21-Mar,0.14,0.3,0.16,114.29
NWSA,6-May-21,21-Mar,0.01,0.09,0.08,800
NXPI,26-Apr-21,21-Mar,2.21,2.31,0.1,4.52
NXST,4-May-21,21-Mar,3.11,4.42,1.31,42.12
NYCB,26-Apr-21,21-Mar,0.27,0.29,0.02,7.41
NYT,5-May-21,21-Mar,0.15,0.26,0.11,73.33
O,3-May-21,21-Mar,0.85,0.26,-0.59,-69.41
OC,28-Apr-21,21-Mar,1.42,1.73,0.31,21.83
ODFL,22-Apr-21,21-Mar,1.58,1.7,0.12,7.59
OGE,6-May-21,21-Mar,0.18,0.26,0.08,44.44
OHI,3-May-21,21-Mar,0.82,0.69,-0.13,-15.85
OKE,27-Apr-21,21-Mar,0.79,0.86,0.07,8.86
OKTA,26-May-21,21-Apr,-0.2,-0.1,0.1,50
OLED,6-May-21,21-Mar,0.67,1.08,0.41,61.19
OLLI,27-May-21,21-Apr,0.66,0.8,0.14,21.21
OLN,27-Apr-21,21-Mar,1.34,1.53,0.19,14.18
OMC,20-Apr-21,21-Mar,1.14,1.33,0.19,16.67
OMF,26-Apr-21,21-Mar,2.12,3.37,1.25,58.96
ON,3-May-21,21-Mar,0.34,0.35,0.01,2.94
OPEN,11-May-21,21-Mar,-0.48,-0.04,0.44,91.67
ORCL,10-Mar-21,21-Feb,1.11,1.16,0.05,4.5
ORI,22-Apr-21,21-Mar,0.45,0.69,0.24,53.33
ORLY,28-Apr-21,21-Mar,5.36,7.06,1.7,31.72
OSH,10-May-21,21-Mar,-0.23,-0.29,-0.06,-26.09
OSK,28-Apr-21,21-Mar,1.15,1.48,0.33,28.7
OTIS,26-Apr-21,21-Mar,0.62,0.72,0.1,16.13
OXY,10-May-21,21-Mar,-0.33,-0.15,0.18,54.55
OZK,22-Apr-21,21-Mar,0.87,1.11,0.24,27.59
PACW,20-Apr-21,21-Mar,0.9,1.27,0.37,41.11
PAG,28-Apr-21,21-Mar,1.81,2.26,0.45,24.86
PANW,20-May-21,21-Apr,1.28,1.38,0.1,7.81
PAYC,4-May-21,21-Mar,1.42,1.47,0.05,3.52
PAYX,6-Apr-21,21-Feb,0.93,0.96,0.03,3.23
PB,28-Apr-21,21-Mar,1.38,1.44,0.06,4.35
PBCT,22-Apr-21,21-Mar,0.34,0.37,0.03,8.82
PCAR,27-Apr-21,21-Mar,1.27,1.35,0.08,6.3
PCG,29-Apr-21,21-Mar,0.28,0.23,-0.05,-17.86
PCTY,6-May-21,21-Mar,0.66,0.88,0.22,33.33
PEAK,4-May-21,21-Mar,0.39,-0.23,-0.62,-158.97
PEG,5-May-21,21-Mar,1.13,1.28,0.15,13.27
PEGA,28-Apr-21,21-Mar,0.02,0.26,0.24,1200
PEN,4-May-21,21-Mar,0.11,0.27,0.16,145.45
PENN,6-May-21,21-Mar,0.3,0.55,0.25,83.33
PEP,15-Apr-21,21-Mar,1.12,1.21,0.09,8.04
PFE,4-May-21,21-Mar,0.79,0.93,0.14,17.72
PFG,27-Apr-21,21-Mar,1.35,1.53,0.18,13.33
PG,20-Apr-21,21-Mar,1.18,1.26,0.08,6.78
PGR,15-Apr-21,21-Mar,1.78,1.72,-0.06,-3.37
PH,29-Apr-21,21-Mar,3.75,4.11,0.36,9.6
PHM,27-Apr-21,21-Mar,1.19,1.28,0.09,7.56
PII,27-Apr-21,21-Mar,1.56,2.3,0.74,47.44
PINC,4-May-21,21-Mar,0.55,0.64,0.09,16.36
PINS,27-Apr-21,21-Mar,0.07,0.11,0.04,57.14
PK,6-May-21,21-Mar,-0.54,-0.81,-0.27,-50
PKG,26-Apr-21,21-Mar,1.47,1.77,0.3,20.41
PKI,4-May-21,21-Mar,3.03,3.72,0.69,22.77
PLAN,27-May-21,21-Apr,-0.09,-0.1,-0.01,-11.11
PLD,19-Apr-21,21-Mar,0.94,0.49,-0.45,-47.87
PLNT,6-May-21,21-Mar,0.17,0.1,-0.07,-41.18
PLUG,22-Jun-21,21-Mar,-0.08,-0.12,-0.04,-50
PM,20-Apr-21,21-Mar,1.4,1.57,0.17,12.14
PNC,16-Apr-21,21-Mar,2.75,4.1,1.35,49.09
PNFP,19-Apr-21,21-Mar,1.38,1.61,0.23,16.67
PNR,22-Apr-21,21-Mar,0.61,0.81,0.2,32.79
PNW,5-May-21,21-Mar,0.25,0.32,0.07,28
POOL,22-Apr-21,21-Mar,1.2,2.42,1.22,101.67
POST,6-May-21,21-Mar,0.55,0.29,-0.26,-47.27
PPC,28-Apr-21,21-Mar,0.27,0.42,0.15,55.56
PPD,27-Apr-21,21-Mar,0.31,0.35,0.04,12.9
PPG,15-Apr-21,21-Mar,1.58,1.88,0.3,18.99
PPL,6-May-21,21-Mar,0.71,0.28,-0.43,-60.56
PRGO,11-May-21,21-Mar,0.56,0.5,-0.06,-10.71
PRI,5-May-21,21-Mar,2.38,2.44,0.06,2.52
PRU,4-May-21,21-Mar,2.68,4.11,1.43,53.36
PSA,28-Apr-21,21-Mar,2.7,2.21,-0.49,-18.15
PSX,30-Apr-21,21-Mar,-1.41,-1.16,0.25,17.73
PTC,28-Apr-21,21-Mar,0.72,1.08,0.36,50
PTON,6-May-21,21-Mar,-0.11,-0.03,0.08,72.73
PVH,2-Jun-21,21-Apr,0.82,1.92,1.1,134.15
PWR,6-May-21,21-Mar,0.74,0.83,0.09,12.16
PXD,4-May-21,21-Mar,1.5,1.77,0.27,18
PYPL,5-May-21,21-Mar,1.01,1.22,0.21,20.79
QCOM,28-Apr-21,21-Mar,1.67,1.9,0.23,13.77
QDEL,6-May-21,21-Mar,4.87,4.38,-0.49,-10.06
QGEN,3-May-21,21-Mar,0.63,0.66,0.03,4.76
QRTEA,7-May-21,21-Mar,0.31,0.48,0.17,54.84
QRVO,5-May-21,21-Mar,2.44,2.74,0.3,12.3
R,28-Apr-21,21-Mar,0.58,1.09,0.51,87.93
RARE,4-May-21,21-Mar,-1.25,-2.03,-0.78,-62.4
RCL,29-Apr-21,21-Mar,-4.54,-4.44,0.1,2.2
RE,28-Apr-21,21-Mar,4.59,6.49,1.9,41.39
REG,6-May-21,21-Mar,0.75,0.47,-0.28,-37.33
REGN,6-May-21,21-Mar,8.79,9.89,1.1,12.51
REXR,21-Apr-21,21-Mar,0.34,0.19,-0.15,-44.12
REYN,5-May-21,21-Mar,0.36,0.36,0,0
RF,23-Apr-21,21-Mar,0.48,0.63,0.15,31.25
RGA,6-May-21,21-Mar,0.07,-1.24,-1.31,-1871.43
RGEN,4-May-21,21-Mar,0.43,0.68,0.25,58.14
RGLD,5-May-21,21-Mar,0.81,0.84,0.03,3.7
RH,9-Jun-21,21-Apr,4.2,4.89,0.69,16.43
RHI,21-Apr-21,21-Mar,0.8,0.98,0.18,22.5
RJF,28-Apr-21,21-Mar,1.39,1.67,0.28,20.14
RKT,5-May-21,21-Mar,0.91,0.89,-0.02,-2.2
RL,20-May-21,21-Mar,-0.73,0.38,1.11,152.05
RMD,29-Apr-21,21-Mar,1.22,1.3,0.08,6.56
RNG,4-May-21,21-Mar,0.25,0.27,0.02,8
RNR,28-Apr-21,21-Mar,0.74,0.09,-0.65,-87.84
ROK,28-Apr-21,21-Mar,2.15,2.41,0.26,12.09
ROKU,6-May-21,21-Mar,-0.12,0.54,0.66,550
ROL,28-Apr-21,21-Mar,0.11,0.14,0.03,27.27
ROP,27-Apr-21,21-Mar,3.32,3.6,0.28,8.43
ROST,20-May-21,21-Apr,0.9,1.34,0.44,48.89
RPM,7-Apr-21,21-Feb,0.34,0.38,0.04,11.76
RPRX,11-May-21,21-Mar,0.65,0.67,0.02,3.08
RS,22-Apr-21,21-Mar,3.69,4.1,0.41,11.11
RSG,5-May-21,21-Mar,0.86,0.93,0.07,8.14
RUN,5-May-21,21-Mar,-0.03,-0.11,-0.08,-266.67
RYN,5-May-21,21-Mar,0.08,0.08,0,0
SABR,4-May-21,21-Mar,-0.51,-0.72,-0.21,-41.18
SAGE,4-May-21,21-Mar,-1.98,-1.64,0.34,17.17
SAIC,3-Jun-21,21-Apr,1.49,1.94,0.45,30.2
SAM,22-Apr-21,21-Mar,2.39,4.58,2.19,91.63
SBAC,26-Apr-21,21-Mar,2.45,-0.11,-2.56,-104.49
SBNY,21-Apr-21,21-Mar,2.83,3.24,0.41,14.49
SBUX,27-Apr-21,21-Mar,0.52,0.62,0.1,19.23
SC,28-Apr-21,21-Mar,1.45,2.42,0.97,66.9
SCCO,28-Apr-21,21-Mar,0.89,0.99,0.1,11.24
SCHW,15-Apr-21,21-Mar,0.82,0.84,0.02,2.44
SCI,3-May-21,21-Mar,0.98,1.32,0.34,34.69
SEE,4-May-21,21-Mar,0.71,0.78,0.07,9.86
SEIC,21-Apr-21,21-Mar,0.9,0.89,-0.01,-1.11
SGEN,29-Apr-21,21-Mar,-0.59,-0.67,-0.08,-13.56
SHW,27-Apr-21,21-Mar,1.65,2.06,0.41,24.85
SIRI,28-Apr-21,21-Mar,0.06,0.07,0.01,16.67
SITE,5-May-21,21-Mar,-0.44,0.16,0.6,136.36
SIVB,22-Apr-21,21-Mar,6.94,10.03,3.09,44.52
SIX,28-Apr-21,21-Mar,-1.29,-1.12,0.17,13.18
SJM,3-Jun-21,21-Apr,1.68,1.89,0.21,12.5
SKX,22-Apr-21,21-Mar,0.49,0.63,0.14,28.57
SLB,23-Apr-21,21-Mar,0.19,0.21,0.02,10.53
SLG,21-Apr-21,21-Mar,1.58,-0.11,-1.69,-106.96
SLGN,28-Apr-21,21-Mar,0.71,0.75,0.04,5.63
SLM,21-Apr-21,21-Mar,1,1.77,0.77,77
SMAR,2-Jun-21,21-Apr,-0.14,-0.09,0.05,35.71
SMG,5-May-21,21-Mar,5.51,5.64,0.13,2.36
SNA,22-Apr-21,21-Mar,3.01,3.5,0.49,16.28
SNDR,29-Apr-21,21-Mar,0.29,0.31,0.02,6.9
SNOW,26-May-21,21-Apr,-0.16,-0.24,-0.08,-50
SNPS,19-May-21,21-Apr,1.52,1.7,0.18,11.84
SNV,20-Apr-21,21-Mar,0.93,1.21,0.28,30.11
SNX,22-Mar-21,21-Feb,1.7,1.89,0.19,11.18
SO,29-Apr-21,21-Mar,0.85,0.98,0.13,15.29
SON,22-Apr-21,21-Mar,0.85,0.9,0.05,5.88
SPB,7-May-21,21-Mar,0.96,1.76,0.8,83.33
SPCE,10-May-21,21-Mar,-0.31,-0.55,-0.24,-77.42
SPG,10-May-21,21-Mar,2.25,1.36,-0.89,-39.56
SPGI,29-Apr-21,21-Mar,3.13,3.39,0.26,8.31
SPLK,2-Jun-21,21-Apr,-0.72,-0.91,-0.19,-26.39
SPOT,28-Apr-21,21-Mar,-0.61,-0.3,0.31,50.82
SPR,5-May-21,21-Mar,-0.93,-1.22,-0.29,-31.18
SQ,6-May-21,21-Mar,0.16,0.41,0.25,156.25
SRC,5-May-21,21-Mar,0.73,-0.04,-0.77,-105.48
SRCL,29-Apr-21,21-Mar,0.59,0.71,0.12,20.34
SRE,5-May-21,21-Mar,2.77,2.95,0.18,6.5
SRPT,5-May-21,21-Mar,-2.01,-2.1,-0.09,-4.48
SSNC,26-Apr-21,21-Mar,1.1,1.18,0.08,7.27
ST,27-Apr-21,21-Mar,0.74,0.86,0.12,16.22
STE,18-May-21,21-Mar,1.8,1.63,-0.17,-9.44
STL,19-Apr-21,21-Mar,0.46,0.51,0.05,10.87
STLD,19-Apr-21,21-Mar,1.98,2.1,0.12,6.06
STNE,1-Jun-21,21-Mar,0.16,0.09,-0.07,-43.75
STOR,6-May-21,21-Mar,0.45,0.21,-0.24,-53.33
STT,16-Apr-21,21-Mar,1.34,1.47,0.13,9.7
STWD,6-May-21,21-Mar,0.51,0.5,-0.01,-1.96
STZ,8-Apr-21,21-Feb,1.49,1.82,0.33,22.15
SUI,26-Apr-21,21-Mar,1.16,0.23,-0.93,-80.17
SWCH,10-May-21,21-Mar,0.05,0.08,0.03,60
SWI,29-Apr-21,21-Mar,0.38,0.46,0.08,21.05
SWK,28-Apr-21,21-Mar,2.56,3.13,0.57,22.27
SWKS,29-Apr-21,21-Mar,2.34,2.37,0.03,1.28
SYF,27-Apr-21,21-Mar,1.5,1.73,0.23,15.33
SYK,27-Apr-21,21-Mar,1.98,1.93,-0.05,-2.53
SYNH,29-Apr-21,21-Mar,0.74,0.79,0.05,6.76
SYY,4-May-21,21-Mar,0.2,0.22,0.02,10
T,22-Apr-21,21-Mar,0.77,0.86,0.09,11.69
TAP,29-Apr-21,21-Mar,-0.12,0.01,0.13,108.33
TDC,6-May-21,21-Mar,0.62,0.69,0.07,11.29
TDG,11-May-21,21-Mar,2.52,2.58,0.06,2.38
TDOC,28-Apr-21,21-Mar,-0.57,0.13,0.7,122.81
TDY,28-Apr-21,21-Mar,2.59,3.02,0.43,16.6
TEAM,29-Apr-21,21-Mar,0.29,0.48,0.19,65.52
TECH,6-May-21,21-Mar,1.5,1.79,0.29,19.33
TER,27-Apr-21,21-Mar,1.04,1.11,0.07,6.73
TFSL,29-Apr-21,21-Mar,0.07,0.08,0.01,14.29
TFX,29-Apr-21,21-Mar,2.44,2.87,0.43,17.62
TGT,19-May-21,21-Apr,2.26,3.69,1.43,63.27
THG,29-Apr-21,21-Mar,0.75,1.66,0.91,121.33
THO,8-Jun-21,21-Apr,2.36,3.29,0.93,39.41
TJX,19-May-21,21-Apr,0.31,0.44,0.13,41.94
TKR,28-Apr-21,21-Mar,1.2,1.38,0.18,15
TMO,29-Apr-21,21-Mar,6.69,7.21,0.52,7.77
TMUS,4-May-21,21-Mar,0.55,0.92,0.37,67.27
TMX,6-May-21,21-Mar,0.21,0.3,0.09,42.86
TNDM,5-May-21,21-Mar,-0.15,-0.07,0.08,53.33
TNL,28-Apr-21,21-Mar,0.17,0.39,0.22,129.41
TOL,25-May-21,21-Apr,0.8,1.01,0.21,26.25
TPL,6-May-21,21-Mar,5.77,6.45,0.68,11.79
TPR,6-May-21,21-Mar,0.3,0.51,0.21,70
TPX,29-Apr-21,21-Mar,0.51,0.64,0.13,25.49
TREX,10-May-21,21-Mar,0.38,0.42,0.04,10.53
TRGP,6-May-21,21-Mar,0.15,0.53,0.38,253.33
TRIP,6-May-21,21-Mar,-0.31,-0.39,-0.08,-25.81
TRMB,5-May-21,21-Mar,0.56,0.66,0.1,17.86
TROW,29-Apr-21,21-Mar,2.92,3.01,0.09,3.08
TRU,27-Apr-21,21-Mar,0.8,0.91,0.11,13.75
TRV,20-Apr-21,21-Mar,2.44,2.73,0.29,11.89
TSCO,22-Apr-21,21-Mar,0.99,1.55,0.56,56.57
TSLA,26-Apr-21,21-Mar,0.79,0.93,0.14,17.72
TSN,10-May-21,21-Mar,1.11,1.34,0.23,20.72
TTC,3-Jun-21,21-Apr,1.23,1.29,0.06,4.88
TTD,10-May-21,21-Mar,0.08,0.14,0.06,75
TTWO,18-May-21,21-Mar,0.68,1.44,0.76,111.76
TW,29-Apr-21,21-Mar,0.43,0.43,0,0
TWLO,5-May-21,21-Mar,-0.1,0.05,0.15,150
TWTR,29-Apr-21,21-Mar,0.14,0.16,0.02,14.29
TXG,5-May-21,21-Mar,-0.25,-0.11,0.14,56
TXN,27-Apr-21,21-Mar,1.56,1.87,0.31,19.87
TXT,29-Apr-21,21-Mar,0.47,0.7,0.23,48.94
TYL,28-Apr-21,21-Mar,1.31,1.43,0.12,9.16
UA,4-May-21,21-Mar,0.04,0.16,0.12,300
UAA,4-May-21,21-Mar,0.04,0.16,0.12,300
UAL,19-Apr-21,21-Mar,-6.97,-7.5,-0.53,-7.6
UBER,5-May-21,21-Mar,-0.56,-0.42,0.14,25
UDR,27-Apr-21,21-Mar,0.48,0.01,-0.47,-97.92
UGI,5-May-21,21-Mar,1.72,1.99,0.27,15.7
UHAL,26-May-21,21-Mar,5.07,3.76,-1.31,-25.84
UHS,26-Apr-21,21-Mar,2.15,2.44,0.29,13.49
ULTA,27-May-21,21-Apr,1.92,4.1,2.18,113.54
UMPQ,21-Apr-21,21-Mar,0.45,0.49,0.04,8.89
UNH,15-Apr-21,21-Mar,4.42,5.31,0.89,20.14
UNM,5-May-21,21-Mar,0.98,1.04,0.06,6.12
UNP,22-Apr-21,21-Mar,2.06,2,-0.06,-2.91
UNVR,7-May-21,21-Mar,0.32,0.43,0.11,34.38
UPS,27-Apr-21,21-Mar,1.67,2.77,1.1,65.87
UPST,11-May-21,21-Mar,0.15,0.22,0.07,46.67
URI,28-Apr-21,21-Mar,3.1,3.45,0.35,11.29
USB,15-Apr-21,21-Mar,0.95,1.45,0.5,52.63
USFD,10-May-21,21-Mar,0.07,0.12,0.05,71.43
UTHR,5-May-21,21-Mar,2.6,0.61,-1.99,-76.54
V,27-Apr-21,21-Mar,1.26,1.38,0.12,9.52
VAC,5-May-21,21-Mar,-0.29,-0.49,-0.2,-68.97
VEEV,27-May-21,21-Apr,0.78,0.91,0.13,16.67
VFC,21-May-21,21-Mar,0.3,0.27,-0.03,-10
VICI,29-Apr-21,21-Mar,0.47,0.5,0.03,6.38
VIRT,4-May-21,21-Mar,1.3,2.04,0.74,56.92
VLO,22-Apr-21,21-Mar,-1.91,-1.73,0.18,9.42
VMC,4-May-21,21-Mar,0.41,0.69,0.28,68.29
VMI,21-Apr-21,21-Mar,2.12,2.57,0.45,21.23
VMW,27-May-21,21-Apr,1.74,1.76,0.02,1.15
VNO,3-May-21,21-Mar,0.63,0.06,-0.57,-90.48
VOYA,10-May-21,21-Mar,1.08,1.03,-0.05,-4.63
VRSK,4-May-21,21-Mar,1.25,1.23,-0.02,-1.6
VRSN,22-Apr-21,21-Mar,1.29,1.33,0.04,3.1
